published_date,title,media,desc,link
2025-09-15 13:06:06.978671,রাকসু নির্বাচন: ওএমআর মেশিনে হবে ভোট গণনা,দীপ্ত নিউজ,রাজশাহী বিশ্ববিদ্যালয় কেন্দ্রীয় ছাত্র সংসদ (রাকসু) ও হল সংসদ নির্বাচনে ওএমআর মেশিনে ভোট গণনা করা হবে বলে জানিয়েছেন প্রধান নির্বাচন কমিশনার প্রফেসর এফ.,https://deeptonews.com/%25E0%25A6%25B0%25E0%25A6%25BE%25E0%25A6%2595%25E0%25A6%25B8%25E0%25A7%2581-%25E0%25A6%25A8%25E0%25A6%25BF%25E0%25A6%25B0%25E0%25A7%258D%25E0%25A6%25AC%25E0%25A6%25BE%25E0%25A6%259A%25E0%25A6%25A8-%25E0%25A6%2593%25E0%25A6%258F%25E0%25A6%25AE%25E0%25A6%2586%25E0%25A6%25B0-%25E0%25A6%25AE%25E0%25A7%2587%25E0%25A6%25B6/&ved=2ahUKEwi08OqE3NyPAxXeqJUCHZjrMis4WhDF9AF6BAgHEAI&usg=AOvVaw0_dRZJPwN-FUfaSGA8n8ro
2025-09-15 13:06:06.976606,ক্যাম্পাসে নির্বাচনী উত্তাপএবার নজরে রাকসু-চাকসুর নির্বাচন,Jagonews24,বাংলাদেশ - ক্যাম্পাসে নির্বাচনী উত্তাপএবার নজরে রাকসু-চাকসুর নির্বাচন.,https://www.jagonews24.com/video/bangladesh/68562&ved=2ahUKEwi08OqE3NyPAxXeqJUCHZjrMis4WhDF9AF6BAgCEAI&usg=AOvVaw3b3DhISGSfNduLNJPGmUpj
2025-09-15 13:06:06.974884,রাকসুতে আরও দুই স্বতন্ত্র প্যানেল ঘোষণা,Jugantor,"রাজশাহী বিশ্ববিদ্যালয় কেন্দ্রীয় ছাত্র সংসদ (রাকসু), হল সংসদ ও সিনেটে ছাত্র প্রতিনিধি নির্বাচনে আরও দুটি 'অপূর্ণাঙ্গ স্বতন্ত্র প্যানেল' ঘোষণা করা হয়েছে। 'ইনডিপেন.",https://www.jugantor.com/campus/1003092&ved=2ahUKEwi08OqE3NyPAxXeqJUCHZjrMis4WhDF9AF6BAgBEAI&usg=AOvVaw2kPfKU9Lf7tZNrK2R9SAjq
2025-09-15 13:06:06.973257,ওএমআরেই হবে রাকসু নির্বাচনের ভোটগণনা : সিইসি,Daily Manobkantha,"রাজশাহী বিশ্ববিদ্যালয়ের কেন্দ্রীয় ছাত্র সংসদ (রাকসু), সিনেট ছাত্র প্রতিনিধি ও হল সংসদের ভোটগণনা হবে ওএমআর পদ্ধতিতে। রোববার (১৪ সেপ্টেম্বর) দুপুরে কোষাধ্যক্ষ কার্যালয়ের সামনে সাংবাদিকদের প্রশ্নের জাবাবে এ কথা জানান রাকসু প্রধান...",https://www.manobkantha.com.bd/news/%25E0%25A6%2595%25E0%25A7%258D%25E0%25A6%25AF%25E0%25A6%25BE%25E0%25A6%25AE%25E0%25A7%258D%25E0%25A6%25AA%25E0%25A6%25BE%25E0%25A6%25B8/638801/%25E0%25A6%2593%25E0%25A6%258F%25E0%25A6%25AE%25E0%25A6%2586%25E0%25A6%25B0%25E0%25A7%2587%25E0%25A6%2587-%25E0%25A6%25B9%25E0%25A6%25AC%25E0%25A7%2587-%25E0%25A6%25B0%25E0%25A6%25BE%25E0%25A6%2595%25E0%25A6%25B8%25E0%25A7%2581-%25E0%25A6%25A8%25E0%25A6%25BF%25E0%25A6%25B0%25E0%25A7%258D%25E0%25A6%25AC%25E0%25A6%25BE%25E0%25A6%259A%25E0%25A6%25A8%25E0%25A7%2587%25E0%25A6%25B0-%25E0%25A6%25AD%25E0%25A7%258B%25E0%25A6%259F%25E0%25A6%2597%25E0%25A6%25A3%25E0%25A6%25A8%25E0%25A6%25BE-%25E0%25A6%25B8%25E0%25A6%25BF%25E0%25A6%2587%25E0%25A6%25B8%25E0%25A6%25BF&ved=2ahUKEwi08OqE3NyPAxXeqJUCHZjrMis4WhDF9AF6BAgFEAI&usg=AOvVaw32q8i_uImNc4cPYUAkXMLD
2025-09-15 13:06:06.971621,‘রাকসু নির্বাচনের ভোটগণনা ওএমআর মেশিনে হবে’,Bdtoday,"রাজশাহী বিশ্ববিদ্যালয়ের কেন্দ্রীয় ছাত্র সংসদ (রাকসু), সিনেট ছাত্র প্রতিনিধি ও হল সংসদের ভোটগণনা হবে ওএমআর পদ্ধতিতে। রোববার (১৪ সেপ্টেম্বর) দুপুরে কোষাধ্যক্ষ কার্যালয়ের সামনে সাংবাদিকদের প্রশ্নের জবাবে এ কথা জানান রাকসু প্রধান...",https://bdtoday.net/higher-study/57264&ved=2ahUKEwi08OqE3NyPAxXeqJUCHZjrMis4WhDF9AF6BAgJEAI&usg=AOvVaw0CVoUSaqJLMVamFw3B9y-v
2025-09-15 13:06:06.969985,৫১ বছর বয়সী মোর্শেদের নেতৃত্বে আংশিক প্যানেল ঘোষণা,কালবেলা,রাজশাহী বিশ্ববিদ্যালয় কেন্দ্রীয় ছাত্র সংসদ (রাকসু) নির্বাচনে সাধারণ শিক্ষার্থীদের জোট 'ইউনাইটেড ফর রাইটস' আংশিক প্যানেল ঘোষণা করেছে।...,https://www.kalbela.com/dainikshiksha/campus/222863&ved=2ahUKEwi08OqE3NyPAxXeqJUCHZjrMis4WhDF9AF6BAgDEAI&usg=AOvVaw1fZQiOvG7k-v-ikybc3Mki
2025-09-15 13:06:06.968316,রাকসু নির্বাচনের ভোট গণনা ওএমআর মেশিনেই হবে,Dhakapost.com,"রাজশাহী বিশ্ববিদ্যালয়ের কেন্দ্রীয় ছাত্র সংসদ (রাকসু), সিনেট ছাত্র প্রতিনিধি ও হল সংসদের ভোট গণনা হবে ওএমআর পদ্ধতিতে। রোববার (১৪ সেপ্টেম্বর...",https://www.dhakapost.com/campus/394804&ved=2ahUKEwi08OqE3NyPAxXeqJUCHZjrMis4WhDF9AF6BAgGEAI&usg=AOvVaw0zoJToNCCMoTUYUX4yhcTm
2025-09-15 13:06:06.966679,"রাকসুতে সমন্বয়ক, নারী ও সংখ্যালঘু প্রার্থী নিয়ে শিবিরের সম্মিলিত জোট",Bdtoday,বাংলাদেশ ইসলামী ছাত্রশিবিরের যাত্রা শুরু হয় ১৯৭৭ সালে। এর পর থেকে রাজশাহী বিশ্ববিদ্যালয় কেন্দ্রীয় ছাত্র সংসদ (রাকসু) নির্বাচন হয়েছে মোট তিনবার। এর মধ্যে দু'বার দলীয় প্যানেল ঘোষণা করে শিবির অংশ নিলেও উল্লেখযোগ্য কোনো সাফল্য...,https://bdtoday.net/politics/57271&ved=2ahUKEwi08OqE3NyPAxXeqJUCHZjrMis4WhDF9AF6BAgKEAI&usg=AOvVaw11AeojM5sJ2PXxg6ZYFwkN
2025-09-15 13:06:06.965013,লটারিতে নির্ধারিত হলো রাকসু নির্বাচনের প্রার্থীদের ব্যালট নম্বর,Rupali Bangladesh,রাজশাহী বিশ্ববিদ্যালয় কেন্দ্রীয় ছাত্র সংসদ (রাকসু) ও সিনেট ছাত্র প্রতিনিধি নির্বাচনের প্রার্থীদের ব্যালট নম্বর লটারির মাধ্যমে নির্ধারণ করা হয়েছে।\r\n\r\nরোববার (১৪ সেপ্টেম্বর) বিকেলে বিশ্ববিদ্যালয়ের সিনেট ভবনে এক উৎসবমুখর...,https://www.rupalibangladesh.com/educational-news/campus/74739/amp&ved=2ahUKEwi08OqE3NyPAxXeqJUCHZjrMis4WhDF9AF6BAgIEAI&usg=AOvVaw2hiA-pNEAYtZ8SUpe7wz8x
2025-09-15 13:06:06.963179,যেভাবে নির্ধারিত হচ্ছে রাকসু নির্বাচনের প্রার্থীদের ব্যালট নম্বর | rucsu election | Independent TV,YouTube,#itv #IndependentTV #itvbd #ইনডিপেনডেন্টটেলিভিশন যেভাবে নির্ধারিত হচ্ছে রাকসু নির্বাচনের প্রার্থীদের ব্যালট নম্বর | rucsu election | Independent TV রাজশাহী বিশ্ববিদ্যালয় কেন্দ্রীয় ছাত্র সংসদ নির্বাচনের আজ...,https://www.youtube.com/watch%3Fv%3DG3xVY17uNgk&ved=2ahUKEwi08OqE3NyPAxXeqJUCHZjrMis4WhDF9AF6BAgEEAI&usg=AOvVaw2ZxkKvrOF6JlCxVA0mKO-3
